dataset,budget_ratio,selector,reference,n_paired_training_seeds,test_accuracy_difference_pp,paired_sample_sd_pp,lower/equal/higher
PubMed,0.1,gt_full_all_trainable,random,3,-1.3353617308992576,0.07319349254432625,lower
PubMed,0.1,gt_full_all_trainable_hops3,degree,3,-1.07336037863421,0.6049874972337168,lower
PubMed,0.1,gt_full_all_trainable_hops3,random,3,-1.0818120351588874,0.5326555529610811,lower
PubMed,0.1,gt_full_sgc_all_trainable_hops3,degree,3,-0.2958079783637639,0.4312829892553476,lower
PubMed,0.1,gt_full_sgc_all_trainable_hops3,random,3,-0.30425963488844116,0.4024976639550585,lower
PubMed,0.1,gt_simple,degree,3,-0.7437457741717409,0.27111249040475927,lower
PubMed,0.1,gt_simple,random,3,-0.7521974306964182,0.13964428365330486,lower
PubMed,0.1,p_graph,degree,3,-2.036849222447601,0.4983611557743645,lower
PubMed,0.1,p_graph,random,3,-2.045300878972278,0.4011644451083838,lower
PubMed,0.1,p_point,degree,3,-2.6284651791751212,0.5877396433642301,lower
PubMed,0.1,p_point,random,3,-2.6369168356997985,0.6231341646777139,lower
PubMed,0.1,r_point,degree,3,-2.6369168356997985,0.6592292089249496,lower
PubMed,0.1,r_point,random,3,-2.645368492224476,0.7696113886296213,lower
PubMed,0.1,random,degree,3,0.008451656524677276,0.1549214230884259,higher
PubMed,0.1,random,random,3,0.0,0.0,equal
PubMed,0.15,degree,degree,3,0.0,0.0,equal
PubMed,0.15,degree,random,3,-0.16903313049357513,0.29713312764108857,lower
PubMed,0.15,gt_full,degree,3,-2.6200135226504364,0.4075241193793468,lower
PubMed,0.15,gt_full,random,3,-2.7890466531440117,0.1583417342393104,lower
PubMed,0.15,gt_full_all_trainable,degree,3,-1.242393509127789,0.7969692518002914,lower
PubMed,0.15,gt_full_all_trainable,random,3,-1.4114266396213642,0.6847406727697475,lower
PubMed,0.15,gt_full_all_trainable_hops3,degree,3,-1.3860716700473323,0.6191667649557944,lower
PubMed,0.15,gt_full_all_trainable_hops3,random,3,-1.5551048005409074,0.4168817598086052,lower
PubMed,0.15,gt_full_sgc_all_trainable_hops3,degree,3,0.2620013522650437,0.19365177886053905,higher
PubMed,0.15,gt_full_sgc_all_trainable_hops3,random,3,0.09296822177146853,0.3516336048464268,higher
PubMed,0.15,gt_simple,degree,3,-0.4986477349560518,0.4711751137514034,lower
PubMed,0.15,gt_simple,random,3,-0.6676808654496269,0.6520385910069667,lower
PubMed,0.15,p_graph,degree,3,-2.5185936443542944,0.5805863588774731,lower
PubMed,0.15,p_graph,random,3,-2.6876267748478697,0.5239345415763649,lower
PubMed,0.15,p_point,degree,3,-3.3130493576741062,0.6118555712555204,lower
PubMed,0.15,p_point,random,3,-3.4820824881676815,0.8256277869114906,lower
PubMed,0.15,r_point,degree,3,-3.3553076402974966,0.63808607465101,lower
PubMed,0.15,r_point,random,3,-3.524340770791072,0.901439596076629,lower
PubMed,0.15,random,degree,3,0.16903313049357513,0.29713312764108857,higher
PubMed,0.15,random,random,3,0.0,0.0,equal
