budget,common_fraction,dataset,intersection,jaccard,kendall,left,right,seed,sign_agreement,spearman
3,1.0,Cora,3,1.0,0.9173689619732786,p_graph,gt_full,42,0.9571428571428572,0.9884454746233409
7,0.8571428571428571,Cora,6,0.75,0.9173689619732786,p_graph,gt_full,42,0.9571428571428572,0.9884454746233409
14,0.9285714285714286,Cora,13,0.8666666666666667,0.9173689619732786,p_graph,gt_full,42,0.9571428571428572,0.9884454746233409
3,0.3333333333333333,Cora,1,0.2,0.7052415210688592,tracin_cp_point_3,r_point,42,0.8,0.8698869475847895
7,0.8571428571428571,Cora,6,0.75,0.7052415210688592,tracin_cp_point_3,r_point,42,0.8,0.8698869475847895
14,0.9285714285714286,Cora,13,0.8666666666666667,0.7052415210688592,tracin_cp_point_3,r_point,42,0.8,0.8698869475847895
3,0.3333333333333333,Cora,1,0.2,0.700513874614594,tracin_cp_point_6,r_point,42,0.7857142857142857,0.8661826769587372
7,0.7142857142857143,Cora,5,0.5555555555555556,0.700513874614594,tracin_cp_point_6,r_point,42,0.7857142857142857,0.8661826769587372
14,0.9285714285714286,Cora,13,0.8666666666666667,0.700513874614594,tracin_cp_point_6,r_point,42,0.7857142857142857,0.8661826769587372
3,1.0,Cora,3,1.0,0.7448339673074946,tracin_cp_simple_3,gt_simple,42,0.8642857142857143,0.8765993085607701
7,1.0,Cora,7,1.0,0.7448339673074946,tracin_cp_simple_3,gt_simple,42,0.8642857142857143,0.8765993085607701
14,1.0,Cora,14,1.0,0.7448339673074946,tracin_cp_simple_3,gt_simple,42,0.8642857142857143,0.8765993085607701
3,1.0,Cora,3,1.0,0.7477125526883932,tracin_cp_simple_6,gt_simple,42,0.8571428571428571,0.8822060453918266
7,1.0,Cora,7,1.0,0.7477125526883932,tracin_cp_simple_6,gt_simple,42,0.8571428571428571,0.8822060453918266
14,1.0,Cora,14,1.0,0.7477125526883932,tracin_cp_simple_6,gt_simple,42,0.8571428571428571,0.8822060453918266
3,0.0,Cora,0,0.0,0.34224049331963,tracin_cp_graph_3,gt_full,42,0.6785714285714286,0.47719927401543816
7,0.2857142857142857,Cora,2,0.16666666666666666,0.34224049331963,tracin_cp_graph_3,gt_full,42,0.6785714285714286,0.47719927401543816
14,0.42857142857142855,Cora,6,0.2727272727272727,0.34224049331963,tracin_cp_graph_3,gt_full,42,0.6785714285714286,0.47719927401543816
3,0.3333333333333333,Cora,1,0.2,0.3568345323741007,tracin_cp_graph_6,gt_full,42,0.6571428571428571,0.5024031838359101
7,0.42857142857142855,Cora,3,0.2727272727272727,0.3568345323741007,tracin_cp_graph_6,gt_full,42,0.6571428571428571,0.5024031838359101
14,0.5,Cora,7,0.3333333333333333,0.3568345323741007,tracin_cp_graph_6,gt_full,42,0.6571428571428571,0.5024031838359101
3,1.0,PubMed,3,1.0,0.896045197740113,a_grad_norm,b_param_lissa,2024,1.0,0.9728257849402614
7,1.0,PubMed,7,1.0,0.896045197740113,a_grad_norm,b_param_lissa,2024,1.0,0.9728257849402614
14,0.9285714285714286,PubMed,13,0.8666666666666667,0.896045197740113,a_grad_norm,b_param_lissa,2024,1.0,0.9728257849402614
3,0.6666666666666666,PubMed,2,0.5,0.9333333333333333,b_param_hutch,b_param_lissa,2024,1.0,0.9917754931925536
7,1.0,PubMed,7,1.0,0.9333333333333333,b_param_hutch,b_param_lissa,2024,1.0,0.9917754931925536
14,0.9285714285714286,PubMed,13,0.8666666666666667,0.9333333333333333,b_param_hutch,b_param_lissa,2024,1.0,0.9917754931925536
3,0.3333333333333333,PubMed,1,0.2,0.03615819209039548,b_param_lissa,gt_full,2024,0.4,0.05040288969158101
7,0.42857142857142855,PubMed,3,0.2727272727272727,0.03615819209039548,b_param_lissa,gt_full,2024,0.4,0.05040288969158101
14,0.35714285714285715,PubMed,5,0.21739130434782608,0.03615819209039548,b_param_lissa,gt_full,2024,0.4,0.05040288969158101
3,0.3333333333333333,PubMed,1,0.2,0.021468926553672316,gt_simple,gt_full,2024,0.48333333333333334,0.03562100583495416
7,0.42857142857142855,PubMed,3,0.2727272727272727,0.021468926553672316,gt_simple,gt_full,2024,0.48333333333333334,0.03562100583495416
14,0.2857142857142857,PubMed,4,0.16666666666666666,0.021468926553672316,gt_simple,gt_full,2024,0.48333333333333334,0.03562100583495416
3,0.3333333333333333,PubMed,1,0.2,-0.2384180790960452,r_point,gt_full,2024,0.4166666666666667,-0.3518199499861073
7,0.14285714285714285,PubMed,1,0.07692307692307693,-0.2384180790960452,r_point,gt_full,2024,0.4166666666666667,-0.3518199499861073
14,0.2857142857142857,PubMed,4,0.16666666666666666,-0.2384180790960452,r_point,gt_full,2024,0.4166666666666667,-0.3518199499861073
3,1.0,PubMed,3,1.0,0.9785310734463277,p_point,r_point,2024,1.0,0.9978883023061964
7,1.0,PubMed,7,1.0,0.9785310734463277,p_point,r_point,2024,1.0,0.9978883023061964
14,1.0,PubMed,14,1.0,0.9785310734463277,p_point,r_point,2024,1.0,0.9978883023061964
3,1.0,PubMed,3,1.0,0.9796610169491525,p_simple,gt_simple,2024,0.9833333333333333,0.9985551542095029
7,1.0,PubMed,7,1.0,0.9796610169491525,p_simple,gt_simple,2024,0.9833333333333333,0.9985551542095029
14,1.0,PubMed,14,1.0,0.9796610169491525,p_simple,gt_simple,2024,0.9833333333333333,0.9985551542095029
3,1.0,PubMed,3,1.0,0.967231638418079,p_graph,gt_full,2024,0.9833333333333333,0.995887746596277
7,1.0,PubMed,7,1.0,0.967231638418079,p_graph,gt_full,2024,0.9833333333333333,0.995887746596277
14,1.0,PubMed,14,1.0,0.967231638418079,p_graph,gt_full,2024,0.9833333333333333,0.995887746596277
