cell,method,strategy,seed,failed,f1_after,paired_dF_pct,perf_before,perf_unlearn,perf_retrain,gap,mia_auc,hop1_flip,hop2_flip,hop3_flip,hop>3_flip,unlearn_time_s,selection_time_s
cora_GAT_r0.05,GraphRevoker,random,42,False,0.6328,0.0,0.487085,0.4631,0.5,0.0369,0.8681,,,,,9.6678,0.0002
cora_GAT_r0.05,GraphRevoker,random,212,False,0.631,0.0,0.48524,0.520295,0.51476,-0.005535,0.8444,,,,,9.0975,0.0002
cora_GAT_r0.05,GraphRevoker,random,722,False,0.6273,0.0,0.498155,0.549815,0.461255,-0.088561,0.7815,,,,,9.5462,0.0002
cora_GAT_r0.05,GraphRevoker,random,1337,False,0.6476,0.0,0.505535,0.47048,0.509225,0.038745,0.7976,,,,,10.4903,0.0003
cora_GAT_r0.05,GraphRevoker,random,2024,False,0.6384,0.0,0.47048,0.461255,0.450185,-0.01107,0.7825,,,,,9.3861,0.0002
cora_GAT_r0.05,GraphRevoker,degree,42,False,0.6033,2.95,0.472325,0.501845,0.45941,-0.042435,0.7812,,,,,10.2783,0.0013
cora_GAT_r0.05,GraphRevoker,degree,212,False,0.631,0.0,0.516605,0.448339,0.509225,0.060886,0.8368,,,,,9.7695,0.0006
cora_GAT_r0.05,GraphRevoker,degree,722,False,0.607,2.03,0.45572,0.479705,0.416974,-0.062731,0.8996,,,,,9.9915,0.0005
cora_GAT_r0.05,GraphRevoker,degree,1337,False,0.6292,1.84,0.549815,0.542435,0.48893,-0.053506,0.8042,,,,,10.5906,0.0006
cora_GAT_r0.05,GraphRevoker,degree,2024,False,0.6347,0.37,0.509225,0.461255,0.476015,0.01476,0.8188,,,,,9.2752,0.0006
cora_GAT_r0.05,GraphRevoker,pagerank,42,False,0.6107,2.21,0.48893,0.509225,0.440959,-0.068266,0.8227,,,,,10.0613,0.0376
cora_GAT_r0.05,GraphRevoker,pagerank,212,False,0.6107,2.03,0.48893,0.54428,0.479705,-0.064576,0.8187,,,,,9.6207,0.037
cora_GAT_r0.05,GraphRevoker,pagerank,722,False,0.631,-0.37,0.490775,0.520295,0.435424,-0.084871,0.8112,,,,,11.2984,0.0367
cora_GAT_r0.05,GraphRevoker,pagerank,1337,False,0.6384,0.92,0.45941,0.509225,0.47786,-0.031365,0.801,,,,,11.0196,0.0379
cora_GAT_r0.05,GraphRevoker,pagerank,2024,False,0.6218,1.66,0.48893,0.549815,0.538745,-0.01107,0.8426,,,,,10.1546,0.037
cora_GAT_r0.05,GraphRevoker,tracin,42,False,0.6328,0.0,0.557196,0.586716,0.520295,-0.066421,0.6846,,,,,9.9477,4.0304
cora_GAT_r0.05,GraphRevoker,tracin,212,False,0.6568,-2.58,0.562731,0.5369,0.520295,-0.016605,0.7096,,,,,11.4081,3.4496
cora_GAT_r0.05,GraphRevoker,tracin,722,False,0.6089,1.84,0.51107,0.50738,0.557196,0.049815,0.781,,,,,10.4306,3.4869
cora_GAT_r0.05,GraphRevoker,tracin,1337,False,0.6236,2.4,0.487085,0.535055,0.490775,-0.04428,0.7074,,,,,10.2241,3.3704
cora_GAT_r0.05,GraphRevoker,tracin,2024,False,0.6439,-0.55,0.49631,0.420664,0.501845,0.081181,0.7837,,,,,8.6191,3.8873
cora_GAT_r0.05,GraphRevoker,im,42,False,0.6255,0.73,0.51845,0.538745,0.5,-0.038745,0.7929,,,,,10.6884,1.5652
cora_GAT_r0.05,GraphRevoker,im,212,False,0.6218,0.92,0.472325,0.490775,0.542435,0.051661,0.7853,,,,,11.8311,1.5652
cora_GAT_r0.05,GraphRevoker,im,722,False,0.6347,-0.74,0.509225,0.512915,0.468635,-0.04428,0.8005,,,,,10.0358,1.5652
cora_GAT_r0.05,GraphRevoker,im,1337,False,0.6218,2.58,0.461255,0.50738,0.433579,-0.073801,0.7775,,,,,10.2785,1.5652
cora_GAT_r0.05,GraphRevoker,im,2024,False,0.6107,2.77,0.50369,0.48893,0.568266,0.079336,0.7545,,,,,10.195,1.5652
cora_GAT_r0.05,GraphRevoker,hybrid,42,False,0.6033,2.95,0.51845,0.523985,0.50369,-0.020295,0.7677,,,,,10.774,0.0416
cora_GAT_r0.05,GraphRevoker,hybrid,212,False,0.6218,0.92,0.516605,0.48524,0.498155,0.012915,0.7618,,,,,9.7816,0.0418
cora_GAT_r0.05,GraphRevoker,hybrid,722,False,0.6181,0.92,0.557196,0.531365,0.54797,0.016605,0.8044,,,,,9.7494,0.0419
cora_GAT_r0.05,GraphRevoker,hybrid,1337,False,0.6162,3.14,0.45941,0.538745,0.476015,-0.062731,0.7916,,,,,10.062,0.042
cora_GAT_r0.05,GraphRevoker,hybrid,2024,False,0.6494,-1.1,0.50738,0.426199,0.542435,0.116236,0.7871,,,,,10.4122,0.0365
